YEAR,CONSTITUENCY,NAME,WINNER,PARTY,GENDER,AGE,CATEGORY,VOTES,ELECTORS,VOTERS,VALID VOTES
2006,ROYAPURAM,". JAYAKUMAR,D.",W,AIADMK,M,45,GEN,50647,137772,95090,95090
2006,ROYAPURAM,". SARKUNAPANDIAN, S P.",N,DMK,F,65,GEN,37144,137772,95090,95090
2006,ROYAPURAM,. ROYAPURAM V BABU,N,DMDK,M,49,GEN,5033,137772,95090,95090
2006,ROYAPURAM,". KUMAR, V.C.",N,BJP,M,42,GEN,735,137772,95090,95090
2006,ROYAPURAM,". SREENIVASULU, J.",N,BSP,M,40,SC,425,137772,95090,95090
2006,ROYAPURAM,". ALEXANDER, G.",N,LJP,M,43,GEN,332,137772,95090,95090
2006,ROYAPURAM,". SORNARAJ, N.",N,IND,M,41,GEN,266,137772,95090,95090
2006,ROYAPURAM,". ARIVUNITHI, K.",N,IND,M,30,GEN,187,137772,95090,95090
2006,ROYAPURAM,. SARAVANAN P.V.,N,IND,M,30,GEN,116,137772,95090,95090
2006,ROYAPURAM,". SELVARAJ, M.",N,IND,M,41,GEN,91,137772,95090,95090
2006,ROYAPURAM,". ANBARASU, V.",N,IND,M,26,GEN,70,137772,95090,95090
2006,ROYAPURAM,". SUDHAKAR, R.",N,IND,M,30,GEN,44,137772,95090,95090
2006,HARBOUR,". ANBAZHAGAN, K.",W,DMK,M,83,GEN,26545,105115,60007,60005
2006,HARBOUR,". SEEMA BASHEER, H.",N,MDMK,M,49,GEN,26135,105115,60007,60005
2006,HARBOUR,. CHANDRA PRAKASAM C,N,DMDK,M,55,GEN,4781,105115,60007,60005
2006,HARBOUR,". VAITHIALINGAM, V.",N,BJP,M,57,GEN,1896,105115,60007,60005
2006,HARBOUR,". VINOBA GANDHI, C.H.",N,IND,M,43,GEN,248,105115,60007,60005
2006,HARBOUR,". MUNUSAMY, P.",N,IND,M,34,GEN,112,105115,60007,60005
2006,HARBOUR,. MOHAMMED ASKAR,N,IND,M,34,GEN,103,105115,60007,60005
2006,HARBOUR,". SAKTHIVEL, K.",N,IND,M,28,SC,80,105115,60007,60005
2006,HARBOUR,". INDRAKUMAR, S.",N,IND,M,30,SC,65,105115,60007,60005
2006,HARBOUR,. MOHAMED JAGUBAR,N,IND,M,44,GEC,40,105115,60007,60005
2006,DR. RADHAKRISHNAN NAGAR,". SEKAR BABU, P.K.",W,AIADMK,M,43,GEN,84462,239326,167730,167730
2006,DR. RADHAKRISHNAN NAGAR,". MANOHAR, R.",N,INC,M,39,GEN,66399,239326,167730,167730
2006,DR. RADHAKRISHNAN NAGAR,". MOHAMED JAN, P.",N,DMDK,M,33,GEN,11716,239326,167730,167730
2006,DR. RADHAKRISHNAN NAGAR,". PREM ANANTH, K.P.",N,BJP,M,45,GEN,1858,239326,167730,167730
2006,DR. RADHAKRISHNAN NAGAR,". RAJENDRAN, K.",N,IND,M,44,GEN,1030,239326,167730,167730
2006,DR. RADHAKRISHNAN NAGAR,". SASIKUMAR, S.",N,IND,M,30,GEN,574,239326,167730,167730
2006,DR. RADHAKRISHNAN NAGAR,". GANGADURAI, G.",N,JJ,M,37,SC,480,239326,167730,167730
2006,DR. RADHAKRISHNAN NAGAR,". MANOHARAN, S.",N,IND,M,52,SC,354,239326,167730,167730
2006,DR. RADHAKRISHNAN NAGAR,". MARIMUTHU, E.",N,IND,M,51,GEN,269,239326,167730,167730
2006,DR. RADHAKRISHNAN NAGAR,". MARIMUTHU, P.",N,IND,M,50,GEN,168,239326,167730,167730
2006,DR. RADHAKRISHNAN NAGAR,". KAJA MOHIDEEN, S.",N,IND,M,42,GEN,167,239326,167730,167730
2006,DR. RADHAKRISHNAN NAGAR,". DURAIVELU, T.",N,IND,M,44,SC,166,239326,167730,167730
2006,DR. RADHAKRISHNAN NAGAR,". SANTHOSH KUMAR, S.",N,IND,M,31,GEN,87,239326,167730,167730
2006,PARK TOWN,". SRINIVASAN, K.",W,AIADMK,M,41,GEN,34314,117016,72915,72915
2006,PARK TOWN,. RAHMANKHAN A.,N,DMK,M,62,GEN,27957,117016,72915,72915
2006,PARK TOWN,". BALASUBRAMANIAN, K.",N,DMDK,M,25,GEN,5300,117016,72915,72915
2006,PARK TOWN,". KANTILAL, C.",N,BJP,M,47,GEN,3621,117016,72915,72915
2006,PARK TOWN,". HARIKRISHNAN, S.",N,BSP,M,35,SC,446,117016,72915,72915
2006,PARK TOWN,". SRINIVASAMOORTHY, C.R.",N,TNJC,M,43,GEN,278,117016,72915,72915
2006,PARK TOWN,". VENKATESAN, P.",N,IND,M,37,SC,237,117016,72915,72915
2006,PARK TOWN,". VIJAYARAGAVAN, M.",N,IND,M,41,GEN,141,117016,72915,72915
2006,PARK TOWN,". PANNEERSELVAM, C.",N,IND,M,41,SC,129,117016,72915,72915
2006,PARK TOWN,". NAGARAJAN, R.R.",N,IND,M,34,SC,117,117016,72915,72915
2006,PARK TOWN,". YUVAKUMAR, P.N.",N,IND,M,32,GEN,85,117016,72915,72915
2006,PARK TOWN,". KARUNAKARAN, D.",N,IND,M,34,GEN,84,117016,72915,72915
2006,PARK TOWN,". SRINIVASAN, K.P.",N,IND,M,36,GEN,82,117016,72915,72915
2006,PARK TOWN,. DURAI N.P.,N,IND,M,40,GEN,78,117016,72915,72915
2006,PARK TOWN,". SENTHILKUMARAN, S.",N,IND,M,26,GEN,46,117016,72915,72915
2006,PERAMBUR,". MAHENDRAN, K.",W,CPI(M),M,39,SC,81765,268704,182627,182379
2006,PERAMBUR,". MANIMARAN, P.",N,MDMK,M,41,SC,78977,268704,182627,182379
2006,PERAMBUR,". LINGAM, J.",N,DMDK,M,35,SC,15881,268704,182627,182379
2006,PERAMBUR,". PERUMAL, V.",N,BSP,M,33,SC,1449,268704,182627,182379
2006,PERAMBUR,". VISWANATHAN KAKKAN, P.",N,JP,M,68,SC,952,268704,182627,182379
2006,PERAMBUR,". JEENAPRIYA, I.",N,SP,F,29,SC,677,268704,182627,182379
2006,PERAMBUR,". RAVICHANDRAN, D.",N,IND,M,37,SC,662,268704,182627,182379
2006,PERAMBUR,". PURUSHOTHAMAN, S.",N,IND,M,36,SC,584,268704,182627,182379
