,YEAR,CONSTITUENCY,NAME,WINNER,PARTY,GENDER,AGE,CATEGORY,VOTES,ELECTORS,VOTERS,VALID VOTES,TURNOUT,PREDICTED WINNER
0,2006,ROYAPURAM,". JAYAKUMAR,D.",W,AIADMK,M,45,GEN,50647,137772,95090,95090,0.69019829863833,N
0,2006,ROYAPURAM,". JAYAKUMAR,D.",W,AIADMK,M,45,GEN,50647,137772,95090,95090,0.69019829863833,N
1,2006,ROYAPURAM,". SARKUNAPANDIAN, S P.",N,DMK,F,65,GEN,37144,137772,95090,95090,0.69019829863833,N
2,2006,ROYAPURAM,. ROYAPURAM V BABU,N,DMDK,M,49,GEN,5033,137772,95090,95090,0.69019829863833,N
3,2006,ROYAPURAM,". KUMAR, V.C.",N,BJP,M,42,GEN,735,137772,95090,95090,0.69019829863833,N
3,2006,ROYAPURAM,". KUMAR, V.C.",N,BJP,M,42,GEN,735,137772,95090,95090,0.69019829863833,N
4,2006,ROYAPURAM,". SREENIVASULU, J.",N,BSP,M,40,SC,425,137772,95090,95090,0.69019829863833,N
5,2006,ROYAPURAM,". ALEXANDER, G.",N,LJP,M,43,GEN,332,137772,95090,95090,0.69019829863833,N
6,2006,ROYAPURAM,". SORNARAJ, N.",N,IND,M,41,GEN,266,137772,95090,95090,0.69019829863833,N
7,2006,ROYAPURAM,". ARIVUNITHI, K.",N,IND,M,30,GEN,187,137772,95090,95090,0.69019829863833,N
8,2006,ROYAPURAM,. SARAVANAN P.V.,N,IND,M,30,GEN,116,137772,95090,95090,0.69019829863833,N
8,2006,ROYAPURAM,. SARAVANAN P.V.,N,IND,M,30,GEN,116,137772,95090,95090,0.69019829863833,N
9,2006,ROYAPURAM,". SELVARAJ, M.",N,IND,M,41,GEN,91,137772,95090,95090,0.69019829863833,N
10,2006,ROYAPURAM,". ANBARASU, V.",N,IND,M,26,GEN,70,137772,95090,95090,0.69019829863833,N
11,2006,ROYAPURAM,". SUDHAKAR, R.",N,IND,M,30,GEN,44,137772,95090,95090,0.69019829863833,N
12,2006,HARBOUR,". ANBAZHAGAN, K.",W,DMK,M,83,GEN,26545,105115,60007,60005,0.5708699995243305,N
13,2006,HARBOUR,". SEEMA BASHEER, H.",N,MDMK,M,49,GEN,26135,105115,60007,60005,0.5708699995243305,N
14,2006,HARBOUR,. CHANDRA PRAKASAM C,N,DMDK,M,55,GEN,4781,105115,60007,60005,0.5708699995243305,N
14,2006,HARBOUR,. CHANDRA PRAKASAM C,N,DMDK,M,55,GEN,4781,105115,60007,60005,0.5708699995243305,N
15,2006,HARBOUR,". VAITHIALINGAM, V.",N,BJP,M,57,GEN,1896,105115,60007,60005,0.5708699995243305,N
16,2006,HARBOUR,". VINOBA GANDHI, C.H.",N,IND,M,43,GEN,248,105115,60007,60005,0.5708699995243305,N
17,2006,HARBOUR,". MUNUSAMY, P.",N,IND,M,34,GEN,112,105115,60007,60005,0.5708699995243305,N
17,2006,HARBOUR,". MUNUSAMY, P.",N,IND,M,34,GEN,112,105115,60007,60005,0.5708699995243305,N
18,2006,HARBOUR,. MOHAMMED ASKAR,N,IND,M,34,GEN,103,105115,60007,60005,0.5708699995243305,N
19,2006,HARBOUR,". SAKTHIVEL, K.",N,IND,M,28,SC,80,105115,60007,60005,0.5708699995243305,N
19,2006,HARBOUR,". SAKTHIVEL, K.",N,IND,M,28,SC,80,105115,60007,60005,0.5708699995243305,N
20,2006,HARBOUR,". INDRAKUMAR, S.",N,IND,M,30,SC,65,105115,60007,60005,0.5708699995243305,N
21,2006,HARBOUR,. MOHAMED JAGUBAR,N,IND,M,44,GEC,40,105115,60007,60005,0.5708699995243305,N
22,2006,DR. RADHAKRISHNAN NAGAR,". SEKAR BABU, P.K.",W,AIADMK,M,43,GEN,84462,239326,167730,167730,0.7008432013237175,N
23,2006,DR. RADHAKRISHNAN NAGAR,". MANOHAR, R.",N,INC,M,39,GEN,66399,239326,167730,167730,0.7008432013237175,N
23,2006,DR. RADHAKRISHNAN NAGAR,". MANOHAR, R.",N,INC,M,39,GEN,66399,239326,167730,167730,0.7008432013237175,N
24,2006,DR. RADHAKRISHNAN NAGAR,". MOHAMED JAN, P.",N,DMDK,M,33,GEN,11716,239326,167730,167730,0.7008432013237175,N
25,2006,DR. RADHAKRISHNAN NAGAR,". PREM ANANTH, K.P.",N,BJP,M,45,GEN,1858,239326,167730,167730,0.7008432013237175,N
26,2006,DR. RADHAKRISHNAN NAGAR,". RAJENDRAN, K.",N,IND,M,44,GEN,1030,239326,167730,167730,0.7008432013237175,N
27,2006,DR. RADHAKRISHNAN NAGAR,". SASIKUMAR, S.",N,IND,M,30,GEN,574,239326,167730,167730,0.7008432013237175,N
28,2006,DR. RADHAKRISHNAN NAGAR,". GANGADURAI, G.",N,JJ,M,37,SC,480,239326,167730,167730,0.7008432013237175,N
29,2006,DR. RADHAKRISHNAN NAGAR,". MANOHARAN, S.",N,IND,M,52,SC,354,239326,167730,167730,0.7008432013237175,N
30,2006,DR. RADHAKRISHNAN NAGAR,". MARIMUTHU, E.",N,IND,M,51,GEN,269,239326,167730,167730,0.7008432013237175,N
30,2006,DR. RADHAKRISHNAN NAGAR,". MARIMUTHU, E.",N,IND,M,51,GEN,269,239326,167730,167730,0.7008432013237175,N
31,2006,DR. RADHAKRISHNAN NAGAR,". MARIMUTHU, P.",N,IND,M,50,GEN,168,239326,167730,167730,0.7008432013237175,N
31,2006,DR. RADHAKRISHNAN NAGAR,". MARIMUTHU, P.",N,IND,M,50,GEN,168,239326,167730,167730,0.7008432013237175,N
32,2006,DR. RADHAKRISHNAN NAGAR,". KAJA MOHIDEEN, S.",N,IND,M,42,GEN,167,239326,167730,167730,0.7008432013237175,W
33,2006,DR. RADHAKRISHNAN NAGAR,". DURAIVELU, T.",N,IND,M,44,SC,166,239326,167730,167730,0.7008432013237175,N
33,2006,DR. RADHAKRISHNAN NAGAR,". DURAIVELU, T.",N,IND,M,44,SC,166,239326,167730,167730,0.7008432013237175,N
34,2006,DR. RADHAKRISHNAN NAGAR,". SANTHOSH KUMAR, S.",N,IND,M,31,GEN,87,239326,167730,167730,0.7008432013237175,N
35,2006,PARK TOWN,". SRINIVASAN, K.",W,AIADMK,M,41,GEN,34314,117016,72915,72915,0.6231199152252683,N
36,2006,PARK TOWN,. RAHMANKHAN A.,N,DMK,M,62,GEN,27957,117016,72915,72915,0.6231199152252683,N
37,2006,PARK TOWN,". BALASUBRAMANIAN, K.",N,DMDK,M,25,GEN,5300,117016,72915,72915,0.6231199152252683,N
37,2006,PARK TOWN,". BALASUBRAMANIAN, K.",N,DMDK,M,25,GEN,5300,117016,72915,72915,0.6231199152252683,N
